# time_tab [s], number_e [$\#$], Ek_e [eV], qV_e [eV], number_i [$\#$], Ek_i [eV], qV_i [eV]
0.000000000000000000e+00 4.999998000000000000e+06 7.494960292218109131e+11 3.604437985879578400e+10 4.999998000000000000e+06 1.938303007684219360e+10 3.654602341786524963e+10
2.500000000000000052e-09 4.991592000000000000e+06 7.477887616217708740e+11 3.605496441820072937e+10 4.999976000000000000e+06 1.938290206525046921e+10 3.654607255222555542e+10
5.000000000000000105e-09 4.983235000000000000e+06 7.461507469681391602e+11 3.595426265918613434e+10 4.999953000000000000e+06 1.938279564496032715e+10 3.643388383544678497e+10
7.500000000000000984e-09 4.974844000000000000e+06 7.445003993418674316e+11 3.671957363348855591e+10 4.999923000000000000e+06 1.938264418583370209e+10 3.718505808057731628e+10
1.000000000000000021e-08 4.966602000000000000e+06 7.428867436947470703e+11 3.835663756754595184e+10 4.999890000000000000e+06 1.938251260535135269e+10 3.881125443269245148e+10
1.249999999999999943e-08 4.958365000000000000e+06 7.412521964993200684e+11 4.082324823826249695e+10 4.999860000000000000e+06 1.938237292793252563e+10 4.127530829855056000e+10
1.500000000000000197e-08 4.950548000000000000e+06 7.396887090972082520e+11 4.405514414609702301e+10 4.999835000000000000e+06 1.938228966893745804e+10 4.451718760348304749e+10
1.750000000000000119e-08 4.942730000000000000e+06 7.381086403166469727e+11 4.803205585484029388e+10 4.999806000000000000e+06 1.938210135951329041e+10 4.851968672985530853e+10
2.000000000000000042e-08 4.935064000000000000e+06 7.365415783721307373e+11 5.271801361802861786e+10 4.999782000000000000e+06 1.938201453624220276e+10 5.324881144487098694e+10
2.249999999999999964e-08 4.927528000000000000e+06 7.349868806703597412e+11 5.806890970578096008e+10 4.999750000000000000e+06 1.938189569614945984e+10 5.866251047518780518e+10
2.499999999999999887e-08 4.920224000000000000e+06 7.334755479606153564e+11 6.402337357261010742e+10 4.999724000000000000e+06 1.938179807918862915e+10 6.470066967668074799e+10
2.750000000000000140e-08 4.913173000000000000e+06 7.319799731128967285e+11 7.052525630885334778e+10 4.999703000000000000e+06 1.938175059060306931e+10 7.130756515307232666e+10
3.000000000000000394e-08 4.906292000000000000e+06 7.305136284062027588e+11 7.752719090114163208e+10 4.999675000000000000e+06 1.938164170830718231e+10 7.843515543933773804e+10
3.249999999999999985e-08 4.899576000000000000e+06 7.290590705334431152e+11 8.496721797677746582e+10 4.999645000000000000e+06 1.938154110569121552e+10 8.602021427424235535e+10
3.500000000000000239e-08 4.893112000000000000e+06 7.276519487475944824e+11 9.278016549059725952e+10 4.999603000000000000e+06 1.938139199444970703e+10 9.399622631334579468e+10
3.749999999999999830e-08 4.886936000000000000e+06 7.262836472858623047e+11 1.009021202354511108e+11 4.999566000000000000e+06 1.938125992382771301e+10 1.022973696237896118e+11
4.000000000000000084e-08 4.880933000000000000e+06 7.249274697421884766e+11 1.092628975472421417e+11 4.999531000000000000e+06 1.938112875323764038e+10 1.108507168513490295e+11
4.250000000000000337e-08 4.875201000000000000e+06 7.236269883818703613e+11 1.177669419330677948e+11 4.999505000000000000e+06 1.938117376486577988e+10 1.195574907772287903e+11
4.499999999999999929e-08 4.869513000000000000e+06 7.223433057129831543e+11 1.263574685581971436e+11 4.999471000000000000e+06 1.938115780540268326e+10 1.283584306539563446e+11
4.750000000000000182e-08 4.864207000000000000e+06 7.211148076903549805e+11 1.349582216604627228e+11 4.999437000000000000e+06 1.938117586877928162e+10 1.371742282580113068e+11
4.999999999999999774e-08 4.859228000000000000e+06 7.199566651600644531e+11 1.434890946745323486e+11 4.999402000000000000e+06 1.938122051679386902e+10 1.459216030677043762e+11
5.250000000000000027e-08 4.854441000000000000e+06 7.188441254408999023e+11 1.518962686571110535e+11 4.999365000000000000e+06 1.938130473045083618e+10 1.545445814906904602e+11
5.500000000000000281e-08 4.849778000000000000e+06 7.177528103082607422e+11 1.601273751337349548e+11 4.999334000000000000e+06 1.938140426172008514e+10 1.629880567129875183e+11
5.749999999999999872e-08 4.845399000000000000e+06 7.167263910085631104e+11 1.680878812306908875e+11 4.999295000000000000e+06 1.938155967038603210e+10 1.711548473600759277e+11
6.000000000000000787e-08 4.841192000000000000e+06 7.157496251518103027e+11 1.757154135707110596e+11 4.999265000000000000e+06 1.938178617344166946e+10 1.789809699504318237e+11
6.249999999999999717e-08 4.837165000000000000e+06 7.148279133353327637e+11 1.829675008748516846e+11 4.999228000000000000e+06 1.938206122949512863e+10 1.864228252319259338e+11
6.499999999999999971e-08 4.833344000000000000e+06 7.139502785047364502e+11 1.897958212422536011e+11 4.999186000000000000e+06 1.938227797338643265e+10 1.934304107556812744e+11
6.750000000000000224e-08 4.829812000000000000e+06 7.131210893610808105e+11 1.961481739870826111e+11 4.999152000000000000e+06 1.938264238175339890e+10 1.999507106949787903e+11
