# time_tab [s], number_e [$\#$], Ek_e [eV], qV_e [eV], number_i [$\#$], Ek_i [eV], qV_i [eV]
0.000000000000000000e+00 4.999998000000000000e+06 7.501288525102009277e+11 -7.556015442007616043e+09 4.999998000000000000e+06 1.938960192666542816e+10 -7.064605710885869026e+09
2.500000000000000052e-09 4.991608000000000000e+06 7.484641760689667969e+11 -7.546084093475886345e+09 4.999974000000000000e+06 1.938943408136839676e+10 -7.064628697673042297e+09
5.000000000000000105e-09 4.983292000000000000e+06 7.467986406468868408e+11 -6.402383075508206367e+09 4.999948000000000000e+06 1.938924968186836624e+10 -5.931060747319365501e+09
7.500000000000000984e-09 4.975016000000000000e+06 7.451675355065383301e+11 -3.956583688437096119e+09 4.999911000000000000e+06 1.938903166865678787e+10 -3.498340357435081482e+09
1.000000000000000021e-08 4.966793000000000000e+06 7.435591196472285156e+11 -2.729292436208590269e+08 4.999871000000000000e+06 1.938886161926107788e+10 1.747386105039004087e+08
1.249999999999999943e-08 4.958580000000000000e+06 7.419388381889278564e+11 4.609002207188425064e+09 4.999843000000000000e+06 1.938874355337057114e+10 5.053536827129390717e+09
1.500000000000000197e-08 4.950648000000000000e+06 7.403480621544888916e+11 1.058848818227156258e+10 4.999810000000000000e+06 1.938857433098369980e+10 1.104216578625295639e+10
1.750000000000000119e-08 4.942849000000000000e+06 7.387817909101154785e+11 1.758867624801511002e+10 4.999781000000000000e+06 1.938845984151668167e+10 1.806755870860157776e+10
2.000000000000000042e-08 4.935093000000000000e+06 7.371973285065678711e+11 2.552340021276327515e+10 4.999749000000000000e+06 1.938832850830506897e+10 2.604592960827060318e+10
2.249999999999999964e-08 4.927530000000000000e+06 7.356496324610985107e+11 3.427397956683372498e+10 4.999721000000000000e+06 1.938819111637777710e+10 3.486007420721870422e+10
2.499999999999999887e-08 4.920049000000000000e+06 7.340932630204157715e+11 4.369881138671998596e+10 4.999693000000000000e+06 1.938811455796370697e+10 4.436923917630108643e+10
2.750000000000000140e-08 4.912915000000000000e+06 7.325950584603305664e+11 5.367574677889450836e+10 4.999657000000000000e+06 1.938797702455884171e+10 5.445206889088780975e+10
3.000000000000000394e-08 4.906033000000000000e+06 7.311358082059440918e+11 6.411339916935839844e+10 4.999615000000000000e+06 1.938781510064663696e+10 6.501716001011030579e+10
