# time_tab [s], number_e [#], Ek_e [eV], qV_e [eV], number_i [#], Ek_i [eV], qV_i [eV]
0.000000000000000000e+00 4.999998000000000000e+06 7.497036736912194824e+11 1.462490423016068459e+10 4.999998000000000000e+06 1.939624361028353500e+10 1.509375483542018127e+10
2.500000000000000052e-09 4.991682000000000000e+06 7.480408332606655273e+11 1.463504770699975395e+10 4.999969000000000000e+06 1.939607911025075531e+10 1.509379856409745407e+10
5.000000000000000105e-09 4.983357000000000000e+06 7.464004804719877930e+11 1.476671358116182327e+10 4.999939000000000000e+06 1.939592248099464417e+10 1.521536506607441139e+10
7.500000000000000984e-09 4.975103000000000000e+06 7.447601973985085449e+11 1.600194996416665077e+10 4.999900000000000000e+06 1.939572449576675797e+10 1.643863631895583534e+10
1.000000000000000021e-08 4.966849000000000000e+06 7.431338518332790527e+11 1.830395958265157700e+10 4.999869000000000000e+06 1.939557103140757751e+10 1.873240653637098312e+10
1.249999999999999943e-08 4.958687000000000000e+06 7.415091146278797607e+11 2.164981433122121429e+10 4.999844000000000000e+06 1.939545407751562500e+10 2.207879891460139084e+10
1.500000000000000197e-08 4.950567000000000000e+06 7.398859691991445312e+11 2.603527047104369736e+10 4.999810000000000000e+06 1.939528302334992599e+10 2.647753213414976501e+10
1.750000000000000119e-08 4.942624000000000000e+06 7.382828906476687012e+11 3.140244335090194321e+10 4.999787000000000000e+06 1.939516264332133102e+10 3.187469715294814682e+10
2.000000000000000042e-08 4.934782000000000000e+06 7.366654805172346191e+11 3.773603683064583588e+10 4.999763000000000000e+06 1.939504070609085464e+10 3.825881187556460571e+10
2.249999999999999964e-08 4.926895000000000000e+06 7.350157600620751953e+11 4.501101788449526978e+10 4.999728000000000000e+06 1.939488813455907440e+10 4.560722761773882294e+10
2.499999999999999887e-08 4.919381000000000000e+06 7.334252957175296631e+11 5.316681912179349518e+10 4.999692000000000000e+06 1.939475021137604141e+10 5.386135068714985657e+10
2.750000000000000140e-08 4.911891000000000000e+06 7.318324805922247314e+11 6.216029252311460114e+10 4.999654000000000000e+06 1.939456820462708664e+10 6.297964100970079041e+10
3.000000000000000394e-08 4.904729000000000000e+06 7.302436708344083252e+11 7.197651365701814270e+10 4.999634000000000000e+06 1.939453083053144836e+10 7.294860288085516357e+10
3.249999999999999985e-08 4.897782000000000000e+06 7.286712156457133789e+11 8.255007843906434631e+10 4.999607000000000000e+06 1.939444623683874512e+10 8.370431831535362244e+10
3.500000000000000239e-08 4.890981000000000000e+06 7.271036754964896240e+11 9.384243842256617737e+10 4.999577000000000000e+06 1.939437217408614349e+10 9.520912330655892944e+10
3.749999999999999830e-08 4.884413000000000000e+06 7.255574167467086182e+11 1.058027284982215424e+11 4.999541000000000000e+06 1.939427761099829865e+10 1.074110676864721375e+11
4.000000000000000084e-08 4.877873000000000000e+06 7.240209947103638916e+11 1.183499867661671295e+11 4.999507000000000000e+06 1.939424854210890961e+10 1.202272352761933594e+11
4.250000000000000337e-08 4.871609000000000000e+06 7.224996697660626221e+11 1.314210491428639526e+11 4.999477000000000000e+06 1.939427527304096985e+10 1.335930643949235382e+11
4.499999999999999929e-08 4.865749000000000000e+06 7.210244090470432129e+11 1.449605608420709534e+11 4.999449000000000000e+06 1.939432455514743042e+10 1.474508285901817627e+11
4.750000000000000182e-08 4.859850000000000000e+06 7.195311496214995117e+11 1.588947114227635193e+11 4.999414000000000000e+06 1.939437671622581482e+10 1.617235928080825806e+11
4.999999999999999774e-08 4.854255000000000000e+06 7.180846212680084229e+11 1.731478576187863464e+11 4.999378000000000000e+06 1.939447246348146820e+10 1.763319060731250305e+11
5.250000000000000027e-08 4.848895000000000000e+06 7.166865929585310059e+11 1.876466123602424622e+11 4.999337000000000000e+06 1.939459918128062057e+10 1.911987096837390747e+11
5.500000000000000281e-08 4.843814000000000000e+06 7.153384279678129883e+11 2.023207070313795776e+11 4.999304000000000000e+06 1.939481948345005798e+10 2.062504790555557556e+11
