# time_tab [s], number_e [$\#$], Ek_e [eV], qV_e [eV], number_i [$\#$], Ek_i [eV], qV_i [eV]
0.000000000000000000e+00 4.999998000000000000e+06 7.502782140412589111e+11 -6.914285993372293472e+09 4.999998000000000000e+06 1.939224301332886887e+10 -6.438894225943955421e+09
2.500000000000000052e-09 4.991580000000000000e+06 7.485911778595588379e+11 -6.907949563206525803e+09 4.999962000000000000e+06 1.939205766396126556e+10 -6.438898547000605583e+09
5.000000000000000105e-09 4.982989000000000000e+06 7.468686443958227539e+11 -6.263071647397469521e+09 4.999937000000000000e+06 1.939194625308551407e+10 -5.793413162392364502e+09
7.500000000000000984e-09 4.974700000000000000e+06 7.452083459237216797e+11 -4.400724282565846443e+09 4.999909000000000000e+06 1.939181805593968964e+10 -3.926781190607853889e+09
1.000000000000000021e-08 4.966264000000000000e+06 7.435073527625855713e+11 -1.313980112495520830e+09 4.999872000000000000e+06 1.939161890071051788e+10 -8.275937188975706100e+08
1.249999999999999943e-08 4.957868000000000000e+06 7.418278121011777344e+11 2.989669555792137623e+09 4.999844000000000000e+06 1.939147693063409805e+10 3.500635326267537117e+09
1.500000000000000197e-08 4.949631000000000000e+06 7.401805638674682617e+11 8.473984074247802734e+09 4.999805000000000000e+06 1.939128849302234650e+10 9.025430003396247864e+09
1.750000000000000119e-08 4.941266000000000000e+06 7.385161281192076416e+11 1.514906883979304695e+10 4.999772000000000000e+06 1.939111079305651093e+10 1.576032833600572395e+10
2.000000000000000042e-08 4.933059000000000000e+06 7.368781515133609619e+11 2.300712714126490021e+10 4.999741000000000000e+06 1.939097919960068130e+10 2.370112075277027512e+10
2.249999999999999964e-08 4.924702000000000000e+06 7.352076665818020020e+11 3.203381726048156738e+10 4.999703000000000000e+06 1.939077952931974030e+10 3.283618070469519424e+10
2.499999999999999887e-08 4.916294000000000000e+06 7.335470181099145508e+11 4.222301192194749451e+10 4.999675000000000000e+06 1.939065081157055664e+10 4.316208804606996155e+10
2.750000000000000140e-08 4.908092000000000000e+06 7.319073752081943359e+11 5.353860835639154816e+10 4.999642000000000000e+06 1.939051924206987000e+10 5.464594820807185364e+10
3.000000000000000394e-08 4.899858000000000000e+06 7.302697134113493652e+11 6.597889225324955750e+10 4.999604000000000000e+06 1.939033161994841003e+10 6.728982888709346008e+10
3.249999999999999985e-08 4.891652000000000000e+06 7.286366638802351074e+11 7.954470162621699524e+10 4.999566000000000000e+06 1.939013046533576965e+10 8.109794347231535339e+10
3.500000000000000239e-08 4.883472000000000000e+06 7.270030833186024170e+11 9.421983913055152893e+10 4.999528000000000000e+06 1.938993643011314774e+10 9.605745407561712646e+10
3.749999999999999830e-08 4.875193000000000000e+06 7.253763317165236816e+11 1.099964222572530823e+11 4.999495000000000000e+06 1.938977566688192368e+10 1.121638839912641144e+11
4.000000000000000084e-08 4.866972000000000000e+06 7.237647926052625732e+11 1.268586340565108032e+11 4.999457000000000000e+06 1.938957177259076309e+10 1.294045544066943970e+11
4.250000000000000337e-08 4.858774000000000000e+06 7.221315879869566650e+11 1.447993765275585327e+11 4.999432000000000000e+06 1.938946905644488144e+10 1.477758684902667542e+11
4.499999999999999929e-08 4.850525000000000000e+06 7.204688436439018555e+11 1.638051826619294128e+11 4.999397000000000000e+06 1.938929759944595718e+10 1.672678832604286194e+11
